id,q,a,b,c,correct
1,Câu 1: Đồng chí hãy cho biết Nghị quyết số 57-NQ/TW ngày 22/12/2024 của Bộ Chính trị về nội dung gì?,"Về đột phá phát triển khoa học, công nghệ, xây dựng nền kinh tế số.","Về đột phá phát triển khoa học, công nghệ, xây dựng nền kinh tế thị trường theo định hướng XHCN.","Về đột phá phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số quốc gia.",C
2,"Câu 2: Nghị quyết số 57-NQ/TW ngày 22/12/2024 của Bộ Chính trị xác định mục tiêu đến năm 2030 tỷ lệ nguồn nhân lực nghiên cứu khoa học, phát triển công nghệ, đổi mới sáng tạo là: ",Đạt 12 người trên 1 vạn dân.,Đạt 10 người trên 1 vạn dân.,Đạt 05 người trên 1 vạn dân.,A
3,Câu 3: Nghị quyết số 57-NQ/TW ngày 22/12/2024 của Bộ Chính trị xác định mục tiêu đến năm 2030 quy mô kinh tế số như thế nào?,Quy mô kinh tế số đạt tối thiểu ngang bằng các nước khu vực Châu Á.,Quy mô kinh tế số đạt tối thiểu 30% GDP.,Quy mô kinh tế số ngang bằng các nước có thu nhập trung bình cao.,B
4,Câu 4: Nghị quyết số 57-NQ/TW ngày 22/12/2024 của Bộ Chính trị xác định mục tiêu đến năm 2030 phát triển doanh nghiệp số là:,Tối thiểu có 05 doanh nghiệp công nghệ số ngang tầm các nước tiên tiến.,Tối thiểu có 05 doanh nghiệp công nghệ số ngang tầm các nước thuộc Nhóm G7.,Tối thiểu có 05 doanh nghiệp công nghệ số thuộc top 20 khu vực Châu Á.,A
5,Câu 5: Nghị quyết số 57-NQ/TW ngày 22/12/2024 của Bộ Chính trị xác định mục tiêu đến năm 2030 tỷ lệ sử dụng dịch vụ công trực tuyến của người dân và doanh nghiệp đạt:,100%.,Trên 80%.,Tuyệt đại đa số người dân và doanh nghiệp đều sử dụng dịch vụ công trực tuyến.,B
6,"Câu 6: Đồng chí hãy cho biết nhiệm vụ, giải pháp cơ bản, quan trọng nhất để đột phá phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số quốc gia được Bộ Chính trị xác định trong Nghị quyết số 57-NQ/TW ngày 22/12/2024?","Nâng cao nhận thức, đột phá về đổi mới tư duy, xác định quyết tâm chính trị mạnh mẽ, quyết liệt lãnh đạo, chỉ đạo, tạo xung lực mới, khí thế mới trong toàn xã hội về về phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số quốc gia.","Tăng cường đầu tư, hoàn thiện hạ tầng cho khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số quốc gia.","Phát triển, trọng dụng nhân lực chất lượng cao, nhân tài đáp ứng yêu cầu khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số quốc gia.",A
7,Câu 7: Đồng chí hãy cho biết Nghị quyết số 3488-NQ/QUTW ngày 29/01/2025 của Quân ủy Trung ương về nội dung gì?,"Về đột phá phát triển khoa học, công nghệ, đổi mới, sáng tạo và chuyển đổi số trong Quân đội.",Về bảo đảm công tác Hậu cần đáp ứng yêu cầu xây dựng Quân đội trong tình hình mới.,"Về đột phá về công tác kỹ thuật đáp ứng yêu cầu xây dựng Quân đội chính quy, hiện đại.",A
8,"Câu 8: Đồng chí hãy cho biết đâu là quan điểm chỉ đạo của Quân ủy Trung ương về đột phá phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số trong Quân đội?","Phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số trong Quân đội là một trong các đột phá cần thiết, là mũi nhọn tiên phong góp phần xây dựng Quân đội cách mạng, chính quy, tinh nhuệ, hiện đại.","Phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số trong Quân đội là một trong các đột phá quan trọng hàng đầu, là mũi nhọn tiên phong góp phần xây dựng Quân đội cách mạng, chính quy, tinh nhuệ, hiện đại.","Phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số trong Quân đội là một trong các đột phá vô cùng quan trọng, là mũi nhọn tiên phong góp phần xây dựng Quân đội hiện đại.",B
9,"Câu 9: Đồng chí hãy cho biết mục tiêu đột phá phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số trong Quân đội đến năm 2030 được Quân ủy Trung ương xác định trong Nghị quyết số 3488-NQ/QUTW ngày 29/01/2025?","Có từ 10 đến 20 nhóm nghiên cứu chuyên sâu trên các lĩnh vực khoa học công nghệ trọng điểm. Số lượng đơn đăng ký sáng chế, văn bằng bảo hộ sáng chế tăng trung bình 10%/năm. Tỷ lệ nhiệm vụ khoa học và công nghệ có kết quả nghiên cứu ứng dụng vào thực tiễn đạt trên 90%.","Có từ 10 đến 20 nhóm nghiên cứu chuyên sâu trên các lĩnh vực khoa học công nghệ trọng điểm. Số lượng đơn đăng ký sáng chế, văn bằng bảo hộ sáng chế tăng trung bình 15%/năm. Tỷ lệ nhiệm vụ khoa học và công nghệ có kết quả nghiên cứu ứng dụng vào thực tiễn đạt trên 90%.","Có từ 10 đến 20 nhóm nghiên cứu chuyên sâu trên các lĩnh vực khoa học công nghệ trọng điểm. Số lượng đơn đăng ký sáng chế, văn bằng bảo hộ sáng chế tăng trung bình 10%/năm. Tỷ lệ nhiệm vụ khoa học và công nghệ có kết quả nghiên cứu ứng dụng vào thực tiễn đạt trên 95%.",A
10,"Câu 10: Đồng chí hãy cho biết nhiệm vụ, giải pháp thứ Nhất để đột phá phát triển khoa học, công nghệ, đổi mới, sáng tạo và chuyển đổi số mà Quân ủy Trung ương xác định trong Nghị quyết số 3488-NQ/QUTW ngày 29 tháng 01 năm 2025?","Tăng cường đầu tư, hoàn thiện hạ tầng cho khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số","Khẩn trương hoàn thiện hệ thống văn bản tạo cơ sở pháp lý, xoá bỏ rào cản đang cản trở sự phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số","Nâng cao nhận thức, quyết tâm lãnh đạo, chỉ đạo tạo động lực mạnh mẽ trong toàn quân về phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số",C
11,"Câu 11: Đồng chí hãy cho biết nhiệm vụ, giải pháp thứ Hai để đột phá phát triển khoa học, công nghệ, đổi mới, sáng tạo và chuyển đổi số mà Quân ủy Trung ương xác định trong Nghị quyết số 3488-NQ/QUTW ngày 29 tháng 01 năm 2025?","Phát triển, trọng dụng nhân lực chất lượng cao, nhân tài đáp ứng yêu cầu phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số.","Khẩn trương hoàn thiện hệ thống văn bản tạo cơ sở pháp lý, xoá bỏ rào cản đang cản trở sự phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số","Nâng cao nhận thức, quyết tâm lãnh đạo, chỉ đạo tạo động lực mạnh mẽ trong toàn quân về phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số",B
12,"Câu 12: Đồng chí hãy cho biết nhiệm vụ, giải pháp thứ Ba để đột phá phát triển khoa học, công nghệ, đổi mới, sáng tạo và chuyển đổi số mà Quân ủy Trung ương xác định trong Nghị quyết số 3488-NQ/QUTW ngày 29 tháng 01 năm 2025?","Tăng cường đầu tư, hoàn thiện hạ tầng cho khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số","Khẩn trương hoàn thiện hệ thống văn bản tạo cơ sở pháp lý, xoá bỏ rào cản đang cản trở sự phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số","Nâng cao nhận thức, quyết tâm lãnh đạo, chỉ đạo tạo động lực mạnh mẽ trong toàn quân về phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số",A
13,"Câu 13: Đồng chí hãy cho biết nhiệm vụ, giải pháp thứ Tư để đột phá phát triển khoa học, công nghệ, đổi mới, sáng tạo và chuyển đổi số mà Quân ủy Trung ương xác định trong Nghị quyết số 3488-NQ/QUTW ngày 29 tháng 01 năm 2025?","Phát triển, trọng dụng nhân lực chất lượng cao, nhân tài đáp ứng yêu cầu phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số.","Khẩn trương hoàn thiện hệ thống văn bản tạo cơ sở pháp lý, xoá bỏ rào cản đang cản trở sự phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số","Nâng cao nhận thức, quyết tâm lãnh đạo, chỉ đạo tạo động lực mạnh mẽ trong toàn quân về phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số",A
14,"Câu 13a: Đồng chí hãy cho biết nhiệm vụ, giải pháp thứ Năm để đột phá phát triển khoa học, công nghệ, đổi mới, sáng tạo và chuyển đổi số mà Quân ủy Trung ương xác định trong Nghị quyết số 3488-NQ/QUTW ngày 29 tháng 01 năm 2025?","Đẩy mạnh chuyển đổi số, ứng dụng khoa học công nghệ, đổi mới sáng tạo trong hoạt động của các cơ quan trong hệ thống chính trị; nâng cao hiệu quả quản trị quốc gia, hiệu lực quản lý nhà nước trên các lĩnh vực, bảo đảm QPAN.","Thúc đẩy mạnh mẽ khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số trong doanh nghiệp","Tăng cường hợp tác quốc tế trong phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số",A
15,"Câu 13b: Đồng chí hãy cho biết nhiệm vụ, giải pháp thứ Sáu để đột phá phát triển khoa học, công nghệ, đổi mới, sáng tạo và chuyển đổi số mà Quân ủy Trung ương xác định trong Nghị quyết số 3488-NQ/QUTW ngày 29 tháng 01 năm 2025?","Đẩy mạnh chuyển đổi số, ứng dụng khoa học công nghệ, đổi mới sáng tạo trong hoạt động của các cơ quan trong hệ thống chính trị; nâng cao hiệu quả quản trị quốc gia, hiệu lực quản lý nhà nước trên các lĩnh vực, bảo đảm QPAN.","Thúc đẩy mạnh mẽ khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số trong doanh nghiệp","Tăng cường hợp tác quốc tế trong phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số",B
16,"Câu 13c: Đồng chí hãy cho biết nhiệm vụ, giải pháp thứ Bảy để đột phá phát triển khoa học, công nghệ, đổi mới, sáng tạo và chuyển đổi số mà Quân ủy Trung ương xác định trong Nghị quyết số 3488-NQ/QUTW ngày 29 tháng 01 năm 2025?","Đẩy mạnh chuyển đổi số, ứng dụng khoa học công nghệ, đổi mới sáng tạo trong hoạt động của các cơ quan trong hệ thống chính trị; nâng cao hiệu quả quản trị quốc gia, hiệu lực quản lý nhà nước trên các lĩnh vực, bảo đảm QPAN.","Thúc đẩy mạnh mẽ khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số trong doanh nghiệp","Tăng cường hợp tác quốc tế trong phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số",C
17,"Câu 14: Đồng chí hãy cho biết Kế hoạch số 95-KH/ĐU ngày 28/02/2025 của Đảng uỷ TCHC-KT thực hiện Nghị quyết số 3488-NQ/QUTW ngày 29/01/2025 của Quân ủy Trung ương về đột phá phát triển KHCN, ĐMST và CĐS trong Tổng cục Hậu cần - Kỹ thuật xác định chỉ tiêu đến năm 2030 về trình độ, năng lực công nghệ, đổi mới sáng tạo của doanh nghiệp trong Tổng cục đạt ở mức nào?",Đạt mức Tốt trong Quân đội,Đạt mức Khá trong Quân đội,Đạt mức Trung bình trong Quân đội,B
18,"Câu 15: Đồng chí hãy cho biết Kế hoạch số 95-KH/ĐU ngày 28/02/2025 của Đảng uỷ TCHC-KT thực hiện Nghị quyết số 3488-NQ/QUTW ngày 29/01/2025 của Quân ủy Trung ương về đột phá phát triển KHCN, ĐMST và CĐS trong Tổng cục Hậu cần - Kỹ thuật xác định chỉ tiêu đến năm 2030 tỷ lệ cơ quan, đơn vị trong Tổng cục HC-KT đạt mức độ chuyển đổi số “Tốt” theo Bộ tiêu chí đánh giá, xếp hạng mức độ chuyển đổi số trong các cơ quan, đơn vị BQP đạt bao nhiêu %?",70%,80%,90%,B
19,"Câu 16: Đồng chí hãy cho biết Kế hoạch số 95-KH/ĐU ngày 28/02/2025 của Đảng uỷ TCHC-KT thực hiện Nghị quyết số 3488-NQ/QUTW ngày 29/01/2025 của Quân ủy Trung ương về đột phá phát triển KHCN, ĐMST và CĐS trong Tổng cục Hậu cần - Kỹ thuật xác định chỉ tiêu đến năm 2030 về tiềm lực, trình độ khoa học, công nghệ và đổi mới sáng tạo đạt ở mức nào?","Đạt mức trung bình ở một số lĩnh vực BĐHC, BĐKT, thuộc nhóm dẫn đầu quốc gia.","Đạt mức xuất sắc ở một số lĩnh vực BĐHC, BĐKT, thuộc nhóm dẫn đầu quốc gia.","Đạt mức tiên tiến ở một số lĩnh vực BĐHC, BĐKT, thuộc nhóm dẫn đầu quốc gia.",C
20,"Câu 17: Đồng chí hãy cho biết Kế hoạch số 95-KH/ĐU ngày 28/02/2025 của Đảng uỷ TCHC-KT thực hiện Nghị quyết số 3488-NQ/QUTW ngày 29/01/2025 của Quân ủy Trung ương về đột phá phát triển KHCN, ĐMST và CĐS trong Tổng cục Hậu cần - Kỹ thuật xác định bao nhiêu nhóm nhiệm vụ, giải pháp chủ yếu?","07 nhóm nhiệm vụ, giải pháp chủ yếu.","08 nhóm nhiệm vụ, giải pháp chủ yếu.","09 nhóm nhiệm vụ, giải pháp chủ yếu.",A
21,"Câu 18: Đồng chí hãy cho biết Kế hoạch số 95-KH/ĐU ngày 28/02/2025 của Đảng uỷ TCHC-KT thực hiện Nghị quyết số 3488-NQ/QUTW ngày 29/01/2025 của Quân ủy Trung ương về đột phá phát triển KHCN, ĐMST và CĐS trong Tổng cục Hậu cần - Kỹ thuật xác định chỉ tiêu đến năm 2030 tỷ lệ cơ quan, đơn vị trong Tổng cục HC-KT đạt mức độ chuyển đổi số “Khá” theo Bộ tiêu chí đánh giá, xếp hạng mức độ chuyển đổi số trong các cơ quan, đơn vị BQP đạt bao nhiêu %?",30%,20%,10%,B
22,"Câu 19: Đồng chí hãy cho biết nhóm nhiệm vụ, giải pháp thứ Nhất xác định trong Kế hoạch số 95-KH/ĐU ngày 28/02/2025 của Đảng uỷ TCHC-KT thực hiện Nghị quyết số 3488-NQ/QUTW ngày 29/01/2025 của Quân ủy Trung ương về đột phá phát triển KHCN, ĐMST và CĐS trong Tổng cục Hậu cần - Kỹ thuật?","Khẩn trương, quyết liệt trong việc quán triệt, triển khai, tổ chức thực hiện các văn bản của trên; hoàn thiện hệ thống văn bản quy phạm pháp luật, quy phạm nội bộ, tạo lợi thế cạnh tranh trong phát triển KHCN, ĐMST và CĐS; xóa bỏ mọi tư tưởng, quan niệm, rào cản đang cản trở sự phát triển.","Nâng cao nhận thức, đột phá về đổi mới tư duy, xác định quyết tâm chính trị mạnh mẽ, quyết liệt lãnh đạo, chỉ đạo, tạo xung lực mới, khí thế mới trong toàn Tổng cục về phát triển KHCN, ĐMST và CĐS.","Tăng cường đầu tư, hoàn thiện hạ tầng cho KHCN, ĐMST và CĐS.",B
23,"Câu 20: Đồng chí hãy cho biết mục đích nâng cao nhận thức, trách nhiệm của quân nhân đối với gia đình, đơn vị, đồng chí, đồng đội?","Nhằm xây dựng mối đoàn kết, thống nhất trong cơ quan, đơn vị, đoàn kết quân dân, góp phần xây dựng cơ quan, đơn vị vững mạnh toàn diện “Mẫu mực, tiêu biểu”.","Nhằm xây dựng ý chí, quyết tâm và hành động tích cực cho mỗi quân nhân sẵn sàng nhận và hoàn thành mọi nhiệm vụ được giao; góp phần tích cực vào việc giữ vững sự ổn định và xây dựng đơn vị vững mạnh về chính trị, tư tưởng và tổ chức.","Nhằm xây dựng ý chí, quyết tâm; rèn luyện, tu dưỡng đạo đức, lối sống, tác phong công tác, góp phần xây dựng cơ quan, đơn vị vững mạnh toàn diện “Mẫu mực, tiêu biểu”.",B
24,"Câu 21: Đồng chí hãy cho biết sự cần thiết nâng cao nhận thức, trách nhiệm của quân nhân đối với gia đình, đơn vị, đồng chí, đồng đội?","Từ vị trí, ý nghĩa, tầm quan trọng của gia đình, đơn vị, đồng chí, đồng đội đối với quân nhân; Từ thực trạng nhận thức, trách nhiệm và thực trạng nâng cao nhận thức, trách nhiệm của quân nhân đối với gia đình, đơn vị, đồng chí, đồng đội trong giai đoạn hiện nay","Từ vị trí, ý nghĩa, tầm quan trọng của gia đình, đơn vị, đồng chí, đồng đội đối với quân nhân; Từ yêu cầu xây dựng Quân đội trong tình hình mới; Từ thực trạng nhận thức, trách nhiệm và thực trạng nâng cao nhận thức, trách nhiệm của quân nhân đối với gia đình, đơn vị, đồng chí, đồng đội trong giai đoạn hiện nay","Từ yêu cầu xây dựng Quân đội trong tình hình mới; Từ thực trạng nhận thức, trách nhiệm và thực trạng nâng cao nhận thức, trách nhiệm của quân nhân đối với gia đình, đơn vị, đồng chí, đồng đội trong giai đoạn hiện nay",B
25,"Câu 22: Đồng chí cho biết yêu cầu nâng cao nhận thức, trách nhiệm của quân nhân đối với gia đình, đơn vị, đồng chí, đồng đội?","Gắn nâng cao nhận thức, trách nhiệm của quân nhân đối với gia đình, đơn vị, đồng chí, đồng đội với công tác giáo dục chính trị; Xác định rõ trách nhiệm của quân nhân đối với gia đình, đơn vị, đồng chí, đồng đội; Phải được tiến hành thường xuyên, lâu dài, đặt dưới sự lãnh đạo, quản lý toàn diện của cấp uỷ đảng và người chỉ huy; Phối hợp với địa phương và gia đình trong nâng cao nhận thức, trách nhiệm của quân nhân đối với gia đình, đơn vị, đồng chí, đồng đội.","Gắn nâng cao nhận thức, trách nhiệm của quân nhân đối với gia đình, đơn vị, đồng chí, đồng đội với công tác giáo dục chính trị; Xác định rõ trách nhiệm của quân nhân đối với gia đình, đơn vị, đồng chí, đồng đội; Phải được tiến hành thường xuyên, lâu dài, đặt dưới sự lãnh đạo, quản lý toàn diện của cấp uỷ đảng và người chỉ huy.","Gắn nâng cao nhận thức, trách nhiệm của quân nhân đối với gia đình, đơn vị, đồng chí, đồng đội với công tác giáo dục chính trị; Phải được tiến hành thường xuyên, lâu dài, đặt dưới sự lãnh đạo, quản lý toàn diện của cấp uỷ đảng và người chỉ huy; Phối hợp với địa phương và gia đình trong nâng cao nhận thức, trách nhiệm của quân nhân đối với gia đình, đơn vị, đồng chí, đồng đội.",A
26,"Câu 23: Đồng chí cho biết giải pháp quan trọng hàng đầu, bao trùm, xuyên suốt để nâng cao nhận thức, trách nhiệm của quân nhân đối với gia đình, đơn vị, đồng chí, đồng đội?","Thường xuyên tạo sự tống nhất trong cấp ủy, chỉ huy cách thức nắm và giải quyết tư tưởng quân nhân.","Phát huy vai trò của các tổ chức, trách nhiệm nêu gương của lãnh đạo, chỉ huy các cấp trong nâng cao nhận thức, trách nhiệm của quân nhân đối với gia đình, đồng chí, đồng đội.","Tăng cường sự lãnh đạo, chỉ đạo của cấp ủy, tổ chức đảng, chính ủy, chính trị viên, người chỉ huy các cấp trong nâng cao nhận thức, trách nhiệm của quân nhân đối với gia đình, đồng chí, đồng đội.",C
27,"Câu 24: Đồng chí hãy nêu Điều 1 trong Quy định chuẩn mực đạo đức cách mạng của cán bộ, đảng viên trong giai đoạn mới?","Cần, kiệm, liêm, chính, chí công vô tư","Gương mẫu, khiêm tốn, tu dưỡng rèn luyện, học tập suốt đời","Yêu nước, tôn trọng Nhân dân, tuyệt đối trung thành với Đảng, với Tổ quốc",C
28,"Câu 25: Đồng chí hãy nêu Điều 2 trong Quy định chuẩn mực đạo đức cách mạng của cán bộ, đảng viên trong giai đoạn mới?","Cần, kiệm, liêm, chính, chí công vô tư","Gương mẫu, khiêm tốn, tu dưỡng rèn luyện, học tập suốt đời","Bản lĩnh, đổi mới, sáng tạo, hội nhập",C
29,"Câu 25a: Đồng chí hãy nêu Điều 3 trong Quy định chuẩn mực đạo đức cách mạng của cán bộ, đảng viên trong giai đoạn mới?","Cần, kiệm, liêm, chính, chí công vô tư","Gương mẫu, khiêm tốn, tu dưỡng rèn luyện, học tập suốt đời","Bản lĩnh, đổi mới, sáng tạo, hội nhập",A
30,"Câu 25b: Đồng chí hãy nêu Điều 4 trong Quy định chuẩn mực đạo đức cách mạng của cán bộ, đảng viên trong giai đoạn mới?","Cần, kiệm, liêm, chính, chí công vô tư","Đoàn kết, kỷ cương, tình thương, trách nhiệm","Bản lĩnh, đổi mới, sáng tạo, hội nhập",B
31,"Câu 26: Đồng chí hãy nêu Điều 5 trong Quy định chuẩn mực đạo đức cách mạng của cán bộ, đảng viên trong giai đoạn mới?","Cần, kiệm, liêm, chính, chí công vô tư","Gương mẫu, khiêm tốn, tu dưỡng rèn luyện, học tập suốt đời","Bản lĩnh, đổi mới, sáng tạo, hội nhập",B
32,Câu 27: Đồng chí hãy cho biết Bộ trưởng Bộ Quốc phòng ban hành Thông tư số 122/2024/TT-BQP quy định về thực hiện dân chủ ở cơ sở trong Quân đội nhân dân Việt Nam nhằm mục đích gì?,"Hoàn thiện quy định của pháp luật về thực hiện dân chủ ở cơ sở tại cơ quan, đơn vị, doanh nghiệp trong Quân đội nhân dân Việt Nam; bảo đảm công khai, minh bạch trong thực hiện dân chủ ở cơ sở, phù hợp với chức năng, nhiệm vụ của quân đội; nâng cao chất lượng hoạt động của hội đồng quân nhân và các tổ chức quần chúng.","Bảo đảm công khai, minh bạch trong thực hiện dân chủ ở cơ sở, phù hợp với chức năng, nhiệm vụ của quân đội; khắc phục những hạn chế, bất cập phát sinh trong thực tiễn thi hành các quy định về thực hiện dân chủ ở cơ sở.","Hoàn thiện quy định của pháp luật về thực hiện dân chủ ở cơ sở tại cơ quan, đơn vị, doanh nghiệp trong Quân đội nhân dân Việt Nam; bảo đảm công khai, minh bạch trong thực hiện dân chủ ở cơ sở, phù hợp với chức năng, nhiệm vụ của quân đội; khắc phục những hạn chế, bất cập phát sinh trong thực tiễn thi hành các quy định về thực hiện dân chủ ở cơ sở.",C
33,Câu 28: Đồng chí hãy cho biết đối tượng áp dụng của Thông tư số 122/2024/TT-BQP của Bộ trưởng Bộ Quốc phòng quy định về thực hiện dân chủ ở cơ sở trong Quân đội nhân dân Việt Nam?,"Đối tượng áp dụng của Thông tư là quân nhân, công nhân, viên chức quốc phòng, người lao động, cá nhân có liên quan đến việc thực hiện dân chủ ở cơ sở trong Quân đội nhân dân Việt Nam; người làm công tác cơ yếu, các cơ quan, đơn vị, tổ chức, doanh nghiệp thuộc Ban Cơ yếu Chính phủ.","Đối tượng áp dụng của Thông tư là quân nhân, công nhân, viên chức quốc phòng, người lao động, người sử dụng lao động, các cơ quan, đơn vị, tổ chức, doanh nghiệp, cá nhân có liên quan đến việc thực hiện dân chủ ở cơ sở trong Quân đội nhân dân Việt Nam; người làm công tác cơ yếu, các cơ quan, đơn vị, tổ chức, doanh nghiệp thuộc Ban Cơ yếu Chính phủ.","Đối tượng áp dụng của Thông tư là quân nhân, công nhân, viên chức quốc phòng, người lao động, người sử dụng lao động, hội đồng nhân nhân, các tổ chức quần chúng của các cơ quan, đơn vị, tổ chức, doanh nghiệp, cá nhân có liên quan đến việc thực hiện dân chủ ở cơ sở trong Quân đội nhân dân Việt Nam; người làm công tác cơ yếu, các cơ quan, đơn vị, tổ chức, doanh nghiệp thuộc Ban Cơ yếu Chính phủ.",B
34,"Câu 29: Đồng chí hãy cho biết theo Thông tư số 122/2024/TT-BQP của Bộ trưởng Bộ Quốc phòng quy định về thực hiện dân chủ ở cơ sở trong Quân đội nhân dân Việt Nam, thời gian giữa 02 kỳ đại hội quân nhân là bao lâu?",Đại hội quân nhân tổ chức 5 năm hai lần.,Đại hội quân nhân tổ chức 2 năm một lần.,Đại hội quân nhân tổ chức 3 năm một lần.,A
